sample_name,POLR3GL,KLHL5,BLNK,SOX4,UBE2S,HSPA2,S100P,DEFB132,MICB,GNS,BIRC5,PREX1,FBXL16,CFB,TRIM45,GPAM,MTHFD1,CEBPA,CEBPD,STAT5A,PRLR,S100B,DENND1B
GSM1045291,6.453979,3.926173,7.321569,7.029726,6.920618,8.973295,12.201478,3.906027,8.552446,7.595616,5.872061,5.829564,5.96781,6.171482,9.755983,6.395687,7.596128,6.487847,6.318697,6.245772,7.206323,3.06079,5.06925
GSM1045292,7.496314,4.543936,6.641412,7.36959,4.969828,7.265226,8.319638,2.794589,5.671785,7.138131,5.585851,7.540088,6.233567,6.466135,6.190495,6.437605,7.595741,6.7717,6.562852,6.621598,5.061132,2.822074,5.736615
GSM1045293,6.621843,4.512713,7.577609,7.991025,5.942605,5.732272,8.846424,2.829022,6.212036,6.300495,6.598756,6.016533,5.952673,6.107276,5.911492,5.110539,6.730733,6.499178,6.397535,5.660763,4.047908,4.211774,4.681221
GSM1045294,6.740452,4.76481,5.846509,8.073401,4.581945,5.46721,5.190067,2.706987,4.542559,5.793202,4.661805,5.462419,5.386589,4.319582,7.13384,6.148166,7.95423,7.049203,5.544062,6.26388,4.565152,3.018818,5.029328
GSM1045295,8.080057,5.009703,6.326728,7.829779,4.992007,8.717708,9.589124,4.211619,5.786027,6.608123,4.832827,7.720508,6.085107,7.129027,7.193559,8.524626,7.383098,7.921204,6.152641,6.988659,4.793567,3.832478,5.914069
GSM1045296,7.220885,5.651109,4.861991,7.781284,7.54135,5.275037,8.702717,2.690897,6.579999,6.313854,5.616591,5.822908,5.154854,5.009409,6.034782,6.041771,7.613652,6.302529,5.343754,6.420591,4.543431,3.068566,5.165334
GSM1045297,6.273588,4.677834,6.419839,5.840828,6.48145,7.254018,4.699805,2.784893,6.887429,6.633777,5.977553,6.172806,6.301542,7.309852,6.339702,5.153242,7.916104,6.764124,5.51056,6.382098,3.9916,2.853575,7.636252
GSM1045298,8.152263,5.778621,7.619389,7.58714,5.595805,8.258346,4.535392,2.798755,8.820871,7.452248,6.233961,7.753754,4.57953,8.402006,4.898991,5.255969,8.004047,7.811414,6.441894,8.104087,4.725564,4.980342,5.454845
GSM1045299,6.906072,5.434982,7.487047,7.307948,5.301543,8.550444,8.909294,3.048092,6.90665,6.550633,5.209654,8.443563,6.577599,7.761405,6.723856,4.963107,7.327549,6.319653,6.422353,6.44529,5.468927,2.824622,5.090153
GSM1045300,7.405,3.687226,6.561564,7.613321,5.630146,7.148593,8.842499,3.071375,7.792274,6.169206,5.923269,5.406787,5.587337,7.419455,6.622832,5.270392,7.32913,6.560578,5.898613,6.617559,5.149086,2.896317,6.503219
GSM1045301,6.103451,5.355589,6.947997,6.67528,3.995283,7.945667,6.485909,3.634601,6.139384,5.896292,4.914115,6.598642,5.445763,6.771001,6.264846,6.644394,6.970328,6.364055,6.105952,6.613576,5.126974,3.03283,6.642146
