sample_name,KLHL5,BLNK,SOX4,UBE2S,S100P,DEFB132,COLEC12,MICB,EIF4E3,GNS,ARF1,FBXL16,CFB,SOD2,TRIM45,MTHFD1,MDK,CEBPD,STAT5A,ACO1,TF
GSM1045282,4.192057,3.605511,7.631678,6.361713,10.36756,3.127693,5.663365,3.771751,3.981415,5.394426,6.682325,5.26524,5.238024,6.629254,7.131022,5.633351,6.50412,5.858253,5.652285,4.519937,4.60361
GSM1045283,4.881752,7.965603,7.146738,4.687355,9.274315,2.737594,6.424982,5.975632,4.782336,6.278369,6.566663,4.973748,6.79962,6.36332,5.872655,7.319109,6.529616,5.838161,7.035119,4.637187,4.808409
GSM1045284,5.522812,6.3841,6.635065,6.617307,8.535951,2.857071,4.847526,5.035357,4.225629,7.028438,6.858673,6.291581,5.009753,6.968105,5.834074,7.665596,8.604823,6.229018,5.581937,5.139112,4.556608
GSM1045285,4.869425,5.11037,6.767324,5.360912,11.183018,3.025749,4.204739,4.991628,4.354865,5.734676,6.017193,5.759132,6.343519,8.727552,5.735685,7.157094,6.693392,6.614104,6.318081,4.781087,5.694903
GSM1045286,5.467411,8.237112,7.722009,4.657043,9.104079,3.13822,6.271262,7.817392,5.313153,6.340893,7.298394,6.239911,8.183768,6.568532,6.706355,7.523344,5.926976,5.652861,6.830017,5.458608,5.087507
GSM1045287,4.052295,4.726597,7.486786,5.678474,5.511803,2.548207,4.579875,4.084453,4.107849,6.428339,6.324056,5.027239,5.234184,4.57204,6.327261,8.029277,6.509965,6.181997,6.197035,4.521406,7.395618
GSM1045288,4.728989,5.470008,7.431663,4.322613,5.307978,3.552704,5.360365,5.674511,4.549648,5.344444,6.37162,5.569377,6.744504,4.722007,5.407056,6.913174,6.259557,5.291155,5.95779,5.181996,4.509312
GSM1045289,5.019718,7.044501,7.673608,4.905728,5.057439,2.710764,6.092672,5.739777,5.430063,6.498139,6.697531,5.063862,6.081298,7.515747,6.183122,7.508034,6.699118,6.722169,7.465425,4.974461,5.275822
GSM1045290,5.276349,6.694731,7.341442,4.272932,8.134405,2.784164,6.936223,7.606145,4.842666,7.499853,6.793872,5.548302,7.598879,6.49343,5.621444,7.3172,5.486163,5.900252,7.064672,5.549475,4.80728
GSM1045291,3.926173,7.321569,7.029726,6.920618,12.201478,3.906027,10.62301,8.552446,4.721475,7.595616,6.387863,5.96781,6.171482,4.131532,9.755983,7.596128,5.826028,6.318697,6.245772,5.217838,4.510238
GSM1045292,4.543936,6.641412,7.36959,4.969828,8.319638,2.794589,4.941193,5.671785,4.844215,7.138131,6.988519,6.233567,6.466135,6.441726,6.190495,7.595741,9.354262,6.562852,6.621598,4.873935,4.547022
